French,English
histoire,history
chercher,search
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
bébé,baby
aucune,any
place,square
compris,understood
savais,knew
étaient,were
donner,give
donné,given
train,train
corps,body
yeux,eyes
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
pouvoir,power
matin,morning
tellement,so much
point,point
venu,came
suite,after
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
filles,girls
jouer,to play
